Id,SalePrice
1461,119539.934
1462,156997.865
1463,183177.696
1464,198757.998
1465,194023.563
1466,168194.369
1467,180677.059
1468,161171.168
1469,191532.609
1470,118538.125
1471,183364.383
1472,99448.78
1473,95721.366
1474,139617.97
1475,113099.747
1476,358109.65
1477,246064.957
1478,287388.815
1479,282514.015
1480,536142.025
1481,327529.641
1482,210059.292
1483,178213.609
1484,163465.835
1485,188794.515
1486,190734.502
1487,335286.854
1488,229786.349
1489,193690.932
1490,244600.74
1491,191574.894
1492,87636.656
1493,190477.381
1494,283819.616
1495,278864.242
1496,235960.573
1497,178328.455
1498,173557.64
1499,161948.688
1500,155148.89
1501,175657.593
1502,145619.88
1503,291321.188
1504,241974.622
1505,227894.497
1506,189666.165
1507,252392.036
1508,198963.541
1509,157108.095
1510,143981.239
1511,157903.568
1512,177865.888
1513,144643.373
1514,153813.87
1515,199402.057
1516,154793.948
1517,174569.941
1518,132362.557
1519,212568.165
1520,125513.49
1521,130284.089
1522,175688.634
1523,113926.083
1524,126190.011
1525,120424.883
1526,111619.113
1527,101532.484
1528,137366.01
1529,147083.403
1530,193457.708
1531,103764.916
1532,91662.802
1533,150077.487
1534,124327.034
1535,145897.485
1536,108631.249
1537,56654.11
1538,146390.591
1539,190367.722
1540,88148.65
1541,141191.852
1542,139794.295
1543,183452.124
1544,86721.664
1545,117519.703
1546,134888.304
1547,137530.684
1548,139400.37
1549,120052.574
1550,131431.341
1551,104076.741
1552,135158.248
1553,143188.911
1554,116182.469
1555,165416.338
1556,85646.419
1557,106949.012
1558,104930.484
1559,71159.346
1560,124285.575
1561,118806.89
1562,130387.826
1563,121424.392
1564,154988.897
1565,145250.548
1566,243304.689
1567,78472.374
1568,234469.701
1569,126209.767
1570,136603.859
1571,119691.921
1572,143219.793
1573,246548.376
1574,118041.618
1575,236328.921
1576,238294.802
1577,180629.0
1578,141887.744
1579,147140.067
1580,193768.807
1581,158886.559
1582,124621.971
1583,299748.033
1584,219518.106
1585,138953.045
1586,72711.273
1587,106962.976
1588,156412.767
1589,97035.401
1590,135274.099
1591,95494.673
1592,107797.421
1593,121351.737
1594,128629.143
1595,106650.603
1596,213992.004
1597,193012.875
1598,222935.241
1599,170165.681
1600,158075.943
1601,70709.026
1602,113550.624
1603,70070.177
1604,261783.189
1605,236304.985
1606,170103.158
1607,180750.11
1608,212208.029
1609,181953.569
1610,150686.836
1611,133911.898
1612,169319.324
1613,165764.197
1614,123609.914
1615,91292.483
1616,78226.937
1617,92635.359
1618,131461.761
1619,143432.87
1620,161026.504
1621,132806.159
1622,141393.346
1623,253462.329
1624,208486.382
1625,120500.646
1626,164926.468
1627,193522.854
1628,279430.795
1629,179898.278
1630,375380.282
1631,220935.563
1632,243588.567
1633,175197.921
1634,184914.07
1635,169453.21
1636,149376.057
1637,198947.493
1638,180542.599
1639,182624.64
1640,253583.331
1641,181071.488
1642,238350.362
1643,222095.135
1644,237710.584
1645,216736.357
1646,155351.121
1647,154592.226
1648,127932.023
1649,140940.735
1650,113560.749
1651,120318.885
1652,99808.906
1653,102128.012
1654,137036.381
1655,132376.651
1656,134583.453
1657,139870.173
1658,138837.555
1659,120950.125
1660,154119.541
1661,468354.856
1662,407901.384
1663,370764.625
1664,568771.897
1665,299102.901
1666,321976.439
1667,392620.631
1668,330717.183
1669,295526.322
1670,334535.321
1671,265249.61
1672,446165.679
1673,287589.859
1674,237116.16
1675,199465.239
1676,195122.257
1677,220742.875
1678,498961.962
1679,398493.049
1680,324427.755
1681,239151.62
1682,312979.687
1683,186559.008
1684,175514.123
1685,168793.334
1686,168006.777
1687,171836.783
1688,185345.1
1689,189617.577
1690,193007.121
1691,182204.915
1692,253750.894
1693,168391.889
1694,181222.581
1695,168259.19
1696,282751.918
1697,174032.047
1698,348152.376
1699,312998.232
1700,252440.737
1701,262178.435
1702,243399.409
1703,240946.685
1704,277939.145
1705,233259.969
1706,475339.819
1707,208624.755
1708,199930.114
1709,257367.09
1710,221638.226
1711,270672.661
1712,257840.388
1713,279371.319
1714,229980.251
1715,206118.887
1716,184926.569
1717,174419.409
1718,137958.735
1719,207558.126
1720,234422.359
1721,161682.63
1722,126527.226
1723,155616.858
1724,201335.578
1725,238158.79
1726,182213.336
1727,153362.337
1728,169566.944
1729,162647.552
1730,156641.52
1731,119066.516
1732,132454.306
1733,114223.339
1734,120335.898
1735,121911.345
1736,110139.2
1737,314032.885
1738,248631.845
1739,250779.098
1740,221528.714
1741,193809.726
1742,171221.711
1743,175224.092
1744,345931.798
1745,212736.63
1746,186212.337
1747,212925.546
1748,235835.297
1749,141268.132
1750,122948.356
1751,248868.174
1752,118422.946
1753,148977.333
1754,191346.386
1755,162182.159
1756,131310.136
1757,123504.95
1758,141307.169
1759,158920.117
1760,157293.767
1761,142019.485
1762,178867.915
1763,184828.907
1764,116044.86
1765,172712.75
1766,194933.22
1767,231472.94
1768,142123.416
1769,171907.071
1770,154336.963
1771,116856.945
1772,130468.136
1773,125151.639
1774,145625.042
1775,143072.584
1776,126710.41
1777,107202.515
1778,140753.529
1779,121878.545
1780,168620.58
1781,124680.277
1782,93121.25
1783,137641.919
1784,111576.3
1785,118676.317
1786,148452.319
1787,163527.432
1788,66307.771
1789,96255.886
1790,80743.795
1791,199541.811
1792,158875.478
1793,127484.574
1794,154304.816
1795,136819.633
1796,122673.701
1797,111878.619
1798,120468.725
1799,112310.184
1800,122227.649
1801,129520.105
1802,129962.477
1803,147248.932
1804,136826.833
1805,135855.059
1806,122898.089
1807,129462.748
1808,119214.068
1809,123854.373
1810,139601.471
1811,92389.361
1812,98012.584
1813,125290.185
1814,96216.823
1815,58023.276
1816,104235.219
1817,107829.792
1818,167237.716
1819,128115.643
1820,57819.195
1821,114130.299
1822,151829.243
1823,46568.018
1824,120118.542
1825,138357.16
1826,110077.899
1827,97534.913
1828,133309.956
1829,114933.111
1830,145546.65
1831,142070.721
1832,72653.821
1833,139889.078
1834,121630.969
1835,117703.094
1836,124306.139
1837,82600.378
1838,128361.157
1839,106509.618
1840,137476.426
1841,134095.51
1842,95630.879
1843,129748.305
1844,134765.126
1845,145622.716
1846,153660.542
1847,172280.344
1848,58163.574
1849,106695.417
1850,117856.866
1851,153750.076
1852,124506.455
1853,127067.151
1854,168478.944
